variety_name,basic_material_number,crop_description,pre_commercial_name
POINSETT 76,000000000010817127,CUCUMBER,POINSETT-76
148 POLL,000000000010791296,CUCUMBER,148-POLL
TRAVITO,000000000010772674,CUCUMBER,RX-95996
CHA 192-89.39.4.20.8.1.1.M MO,000000000011217731,MELON,
CHA 38-ORANG MO,000000000011145009,MELON,
WSH 39-233 AN * HP 233,000000000010893211,MELON,
ZGN 48-701 * HP 243,000000000010858809,SQUASH,
WCS 888-0261,000000000010894390,WATERMELON,
WML 45-1019S,000000000010908720,WATERMELON,
APD 147-5007 GY,000000000010855380,CUCUMBER,
BAP 35-203 GY * HP 203,000000000010871392,CUCUMBER,
BAP 36-536 GY * HP 536,000000000010895696,CUCUMBER,
BAP 36-1091 GY,000000000010893740,CUCUMBER,
PSL 33-EK71 GY * HP 427,000000000010894681,CUCUMBER,
APD 46-27 MO * HP 464,000000000010909599,CUCUMBER,
API 45-5298 GY,000000000010906514,CUCUMBER,
API 74-199 MO * HP 199,000000000010845137,CUCUMBER,
ASD 35-177 MO * HP 177,000000000010902298,CUCUMBER,
ASD 35-207 MO * HP 207,000000000010841613,CUCUMBER,
ASL 147-2013 MO,000000000010910368,CUCUMBER,
ASL 35-229 MO * HP 229,000000000010908262,CUCUMBER,
ASL 35-1013 GY,000000000010910064,CUCUMBER,
ASL 147-2014 MO,000000000010894352,CUCUMBER,
ASL 35-551 GY * HP 551,000000000010841469,CUCUMBER,
ASL 35-122 MO * HP 122,000000000010886897,CUCUMBER,
ASL 35-138 GY * HP 138,000000000010910515,CUCUMBER,
ASL 36-332 MO * HP 332,000000000010909708,CUCUMBER,
ASL 147-2004 MO,000000000010841937,CUCUMBER,
ASL 147-MALE INVASION,000000000011196421,CUCUMBER,
BAF 36-1085 MO,000000000010893863,CUCUMBER,
BAF 35-224 GY * HP 224,000000000010903303,CUCUMBER,
BAF 35-1008 MO,000000000010894264,CUCUMBER,
TAS 34-5324 PF,000000000010897682,CUCUMBER,
ETNA,000000000010761939,"BEAN, DRY",EX-B213
ETNA STOCK,000000000010791406,"BEAN, DRY",
TEGGIA,000000000010791448,"BEAN, DRY",EX-382
RED-ROVER-STOCK,000000000010780536,"BEAN, DRY",RED-ROVER-STOCK
CABERNET STOCK,000000000010785299,"BEAN, DRY",EX-341
PINK PANTHER STOCK,000000000010840052,"BEAN, DRY",EX-08590462-STOCK
CLOUSEAU STOCK,000000000010798696,"BEAN, DRY",EX-08530714-STOCK
SVS 0863,000000000010770169,"BEAN, DRY",EX-08560863-STOCK
WINDBREAKER STOCK,000000000010823799,"BEAN, DRY",EX-08530762-STOCK
BA1001,000000000011099231,"BEAN, GARDEN",FIVC6V1001
BA0999,000000000011099233,"BEAN, GARDEN",FIVC6V0999
HERCULES,000000000010791447,"BEAN, GARDEN",EX-373
STRIKE,000000000010820976,"BEAN, GARDEN",EX-B77
SYBARIS,000000000011078841,"BEAN, GARDEN",SV08071301
BA0958,000000000011099235,"BEAN, GARDEN",FMGC6V0958
TEMA,000000000010760697,"BEAN, GARDEN",EX-B201
BRONCO,000000000010817824,"BEAN, GARDEN",EX-B172
OPUS,000000000010783395,"BEAN, GARDEN",EX-B223
VALENTINO,000000000010827188,"BEAN, GARDEN",EX-15321397
SV1545GA,000000000011688970,"BEAN, GARDEN",10-DK-FMS-1545
XERA,000000000010784748,"BEAN, GARDEN",RX-1500
MAESTRALE,000000000010777613,"BEAN, GARDEN",RX-08021523
PAULISTA,000000000010761925,"BEAN, GARDEN",RX-1377
PRETORIA,000000000010758377,"BEAN, GARDEN",RX-1515
SV1541GA,000000000011496584,"BEAN, GARDEN",SV08091541
GIOLLI,000000000010915589,"BEAN, GARDEN",RS08051531
