variety_name,basic_material_number,crop_description,pre_commercial_name
GREEN MACHINE,000000000020016876,PEPPER,10-HJ-BLK-0972
GAVIOTA,000000000012957840,PEPPER,17-8T-BLK-9514
LA JOLLA,000000000012959445,PEPPER,17-8T-BLK-9516
TURNPIKE,000000000011986152,PEPPER,09-E7-BLK-5059
SV6420PB,000000000012277690,PEPPER,12-HJ-BLK-4050
MAXIMINUS,000000000012159124,PEPPER,11-8T-BLK-8886
PLAYMAKER,000000000012344161,PEPPER,11-E7-BLK-6988
AUTRY,000000000020016854,PEPPER,10-HJ-BLK-0964
ELDRIDGE,000000000012181478,PEPPER,10-8T-BLK-4227
ANTEBELLUM,000000000011696361,PEPPER,99982040
SVPB4272,000000000012894183,PEPPER,16-8T-BLK-4272
PIEDONE,000000000012447640,PEPPER,15-E8-BLK-8043
SV1865PB,000000000011680894,PEPPER,PX-2791865
TERRA MAR,000000000012186432,PEPPER,10-8T-BLK-4564
TARPON,000000000012827350,PEPPER,16-E7-BLK-7140
SV9699PB,000000000011985620,PEPPER,10-8T-BLK-3432
SV1675PB,000000000011653029,PEPPER,09-8T-BLK-1675
YELLOWJEWEL,000000000030112298,PEPPER,19-8T-BLK-8919
YELLOWFIN,000000000030062681,PEPPER,18-E7-BLK-2713
MARX,000000000012389064,PEPPER,12-8T-BLK-0132
HAMMERHEAD,000000000030063108,PEPPER,16-E7-BLK-9313
SVPB8193,000000000012344155,PEPPER,12-E7-BLK-8193
PFEIFFER,000000000012473225,PEPPER,14-8T-BLK-8464
SAILFISH,000000000012960175,PEPPER,16-E7-BLK-7456
RED MISSION,000000000030112302,PEPPER,19-8T-HLG-8928
SV1634PH,000000000012112095,PEPPER,10-HJ-HLG-0885
RED IMPACT,000000000012446808,PEPPER,13-8T-HLG-3142
RED CYCLONE,000000000012827336,PEPPER,12-8T-HLG-2138
LANDAU,000000000012623381,PEPPER,11-HJ-HLG-2490
BARRIER,000000000012655881,PEPPER,15-E8-PNT-8735
KUBAT,000000000030007464,PEPPER,19-E8-PNT-8761
TONTON,000000000012178740,PEPPER,12-XE-PNT-8710
SVPP0942,000000000030059557,PEPPER,16-FD-PNT-0942
KAPRIMA,000000000011846555,PEPPER,11-XE-PNT-8706
IMBAT,000000000011984525,PEPPER,12-XE-PNT-8707
EXUMA,000000000030060277,PEPPER,18-E7-SPE-2762
SVPS0953,000000000013022275,PEPPER,18-E7-SPE-0953
SVPS7311,000000000030060113,PEPPER,18-E7-SPE-7311
SVPS0897,000000000013022381,PEPPER,18-E7-SPE-0897
SVPS2784,000000000030063095,PEPPER,18-E7-SPE-2784
HEARTBEAT,000000000030112539,PEPPER,18-8T-ZSP-4566
PRITANNIA,000000000011707184,PEPPER,SPR-0129
CARCASSONE,000000000011847948,PEPPER,11-XE-ZSP-6801
EQUIFORT,000000000012634615,TOMATO,16-XI-TRS-0018
SVTX6258,000000000012101790,TOMATO,13-9S-TRS-2902
KRATOFORT,000000000012602848,TOMATO,16-XI-TRS-0032
IDEALFORT,000000000012315145,TOMATO,14-XI-TRS-0163
DYNAFORT,000000000012419174,TOMATO,15-XI-TRS-0170
BALANCEFORT,000000000012122291,TOMATO,13-XI-TRS-0155
VITALFORT,000000000012274074,TOMATO,14-XI-TRS-0159
YELORITA,000000000012565950,TOMATO,13-XL-FSP-6438
YARIMARU,000000000012935228,TOMATO,18-XM-FIP-4801
TATEMARU MUCHOO,000000000030103138,TOMATO,20-XM-FIP-4839
HAKUMARU,000000000012935224,TOMATO,18-XM-FIP-4821
FUJIMARU,000000000012447014,TOMATO,15-9R-FIP-0001
MIDELYCE,000000000030098658,TOMATO,19-XM-FIR-1032
DRTH2913,000000000030105411,TOMATO,18-A8-FIR-2913
NOVERO,000000000030105320,TOMATO,18-A8-FIR-2912
FERREIRA,000000000030105324,TOMATO,18-A8-FIR-2911
PRODICE,000000000030055267,TOMATO,20-XM-FIR-1034
JOURNEY,000000000012320482,TOMATO,14-9R-FIS-4087
SV0052TC,000000000012122703,TOMATO,13-9S-CCT-3460
MARASKINO,000000000012407008,TOMATO,14-XL-CCT-6779
SV1201TC,000000000011623402,TOMATO,DRC-1201
SVTC1505,000000000013066454,TOMATO,19-9S-CCT-8389
SVTC1951,000000000030037604,TOMATO,17-XL-CCT-1951
SV3324TC,000000000011987043,TOMATO,12-9S-CCT-2641
SV0313TG,000000000011685715,TOMATO,11-9S-FIP-0313
SVTG6406,000000000012737521,TOMATO,15-9S-FIP-6406
SVTG6232,000000000030130401,TOMATO,19-XJ-FIP-6232
MEI SHUAI,000000000012017310,TOMATO,12-9S-FIP-2042
SVTG6215,000000000013066325,TOMATO,19-9S-FIP-8270
ANTELAISI,000000000012573152,TOMATO,15-9S-FIP-5751
SVTG6300,000000000030093490,TOMATO,20-9S-FIP-6300
SVTG6413,000000000012889211,TOMATO,17-9S-FIP-6413
SVTG6223,000000000030038130,TOMATO,17-XJ-FIP-6223
SV0244TG,000000000011690037,TOMATO,11-9S-FIP-0244
SVTG6410,000000000012761552,TOMATO,16-9S-FIP-6410
PINKID,000000000012206523,TOMATO,13-9S-FIP-3004
TYGIANTS,000000000012737539,TOMATO,16-9S-FIP-6405
SVTG6412,000000000012737523,TOMATO,15-9S-FIP-6412
SVTG6418,000000000012889219,TOMATO,17-9S-FIP-6418
SVTG6213,000000000013036714,TOMATO,17-XJ-FIP-6213
SV4224TH,000000000011699336,TOMATO,11-XJ-FIR-4224
ROUJA,000000000012741780,TOMATO,15-XJ-FIR-4041
SVTH7012,000000000012352303,TOMATO,12-XJ-FIR-6634
SVTH1214,000000000012440452,TOMATO,15-XA-FIR-8026
SV3725TH,000000000011699186,TOMATO,11-XJ-FIR-3725
SVTH3053,000000000012909926,TOMATO,16-A8-FIR-3053
SVTH3047,000000000012900411,TOMATO,16-A8-FIR-3047
SV6172TH,000000000012041470,TOMATO,10AB8089
WRESTLER,000000000012436296,TOMATO,15-XA-FIR-8029
BESUTO,000000000012377337,TOMATO,14-XA-FIR-8008
ROVENTE,000000000011658079,TOMATO,DRW-5603
SVTH4805,000000000012693600,TOMATO,14-XJ-FIR-4805
SV7114TH,000000000012293953,TOMATO,11-XJ-FIR-2683
SEHER,000000000030118146,TOMATO,20-AY-FIR-4101
EL34,000000000012892630,TOMATO,16-XJ-FIR-2902
SV6112TH,000000000011732773,TOMATO,11-XJ-FIR-6112
JAQUE,000000000013009877,TOMATO,16-A8-FIR-3033
SVTH4816,000000000012914127,TOMATO,16-XJ-FIR-4816
SVTH1366,000000000012435206,TOMATO,14-XJ-FIR-0372
PARTOVA,000000000012256378,TOMATO,13-XA-FIR-7972
AMANKAY,000000000013009965,TOMATO,16-A8-FIR-3562
MAZINGER,000000000012988414,TOMATO,18-9W-FIR-2009
SVTH4040,000000000012741295,TOMATO,15-XJ-FIR-4040
SVTH0097,000000000012511598,TOMATO,14-XJ-FIR-0097
KAIJU,000000000012820698,TOMATO,16-A8-FIR-3052
SVTH6995,000000000012426182,TOMATO,14-XJ-FIR-0373
SV4129TH,000000000011667693,TOMATO,11-XJ-FIR-4129
REDKHAN,000000000012959542,TOMATO,15-XJ-FIR-4822
MADALYON,000000000013090000,TOMATO,18-9N-FIR-4093
BATEYO,000000000012076172,TOMATO,12-XF-FIR-7942
CALABARDINA,000000000012376313,TOMATO,14-XF-FIR-8006
MATISSIMO,000000000012317151,TOMATO,14-XA-FIR-7997
LAUJAR,000000000012077497,TOMATO,12-XF-FIR-7944
SVTJ7518,000000000012809319,TOMATO,16-YA-FIS-7518
SVTJ7512,000000000012809291,TOMATO,15-YA-FIS-7512
MACONDO,000000000013101270,TOMATO,17-YA-FIS-7819
SVTJ7821,000000000030097977,TOMATO,18-YA-FIS-7821
SVTJ7824,000000000030097974,TOMATO,18-YA-FIS-7824
APUESTO,000000000013101282,TOMATO,17-YA-FIS-7809
ZENZEI,000000000012300269,TOMATO,14-XA-FIS-2233
LEVANTE,000000000012174852,TOMATO,13-XF-FSP-7035
PINK DELICIOUS,000000000012987459,TOMATO,15-A8-FIP-0347
SV0215TH,000000000011857720,TOMATO,11-A8-FIR-0215
COMANDANTY,000000000013105610,TOMATO,19-9W-FIR-3938
SVTH3439,000000000012987447,TOMATO,16-A8-FIR-3439
BABINDA,000000000012938666,TOMATO,15-A8-FIR-2868
KARDEAL,000000000013105947,TOMATO,19-9W-FIR-3936
SVTH3532,000000000012987438,TOMATO,16-A8-FIR-3532
BETTER BOY PLUS,000000000012987453,TOMATO,16-A8-FIR-3452
LEMON BOY PLUS,000000000012987435,TOMATO,16-A8-FIR-3445
MANIK,000000000012604615,TOMATO,12-XJ-FIR-6805
SVTH4903,000000000012403273,TOMATO,12-9Q-FIR-2500
SVTH4379,000000000012440168,TOMATO,15-9W-FIR-8032
KELTOUM,000000000012565828,TOMATO,15-9W-FIR-8036
SVTH0361,000000000012414910,TOMATO,15-9W-FIR-8025
BIG BEEF PLUS,000000000012987456,TOMATO,16-A8-FIR-3438
SVTH4837,000000000030052935,TOMATO,18-XJ-FIR-4837
GADA,000000000012569357,TOMATO,16-XA-FIS-2236
REVENANT,000000000012332173,TOMATO,12-AY-FDR-6964
SVTD8080,000000000030135175,TOMATO,18-AY-FDR-8080
KAUSHAL,000000000012413494,TOMATO,14-9P-FDR-0220
SVTD8450,000000000030088982,TOMATO,17-A8-FDR-8450
ALTBEK,000000000012623508,TOMATO,15-XJ-FDR-8016
WINDUP,000000000012761590,TOMATO,17-9Q-FDR-8601
MYRTLE,000000000012417337,TOMATO,12-9Q-FDR-6169
SVTD8033,000000000012793026,TOMATO,15-XJ-FDR-8033
SVTD8042,000000000012804643,TOMATO,15-XJ-FDR-8042
CELEBRITY PLUS,000000000012987432,TOMATO,16-A8-FDR-4081
SV2466TD,000000000012150924,TOMATO,08-AY-FDR-1620
SV7002TD,000000000012318990,TOMATO,11-XJ-FDR-3330
SOUTHERN RIPE,000000000011977653,TOMATO,EX-15586087
EX15567101,000000000011277515,TOMATO,
JAMESTOWN,000000000012417343,TOMATO,13-9Q-FDR-1697
SHIVANG,000000000012896920,TOMATO,16-9P-FDR-8329
SAYBROOK,000000000012516944,TOMATO,13-9Q-FDR-3007
YAKEEN,000000000013072014,TOMATO,17-XJ-FDR-8059
SVTD8323,000000000012894445,TOMATO,17-9P-FDR-8323
JEDA,000000000012121271,TOMATO,11AB1859
SVTD8036,000000000012804623,TOMATO,13-AY-FDR-8036
ASHUTOSH,000000000012742748,TOMATO,15-9P-FDR-2412
SVTD2094,000000000012515444,TOMATO,13-AY-FDR-7510
DURG,000000000012587872,TOMATO,15-9P-FDR-0084
NJOUD,000000000012732467,TOMATO,15-AY-FDR-8027
MULTIFLORA,000000000012804647,TOMATO,17-XJ-FDR-8038
AGASTYA,000000000012896938,TOMATO,17-9P-FDR-8331
SVTE8803,000000000013022692,TOMATO,16-XJ-FDS-8803
BEAMA,000000000030052901,TOMATO,17-XJ-FDS-8705
YODDHA,000000000013051648,TOMATO,18-HN-FDS-8605
BERNETTA,000000000012458780,TOMATO,13-XJ-FDS-9396
SVTE4746,000000000012516192,TOMATO,13-XJ-FDS-9389
GUANACASTE,000000000012649869,TOMATO,14-XJ-FDS-9816
KIRTIMAN,000000000030062945,TOMATO,18-HN-FDS-8613
ANSAL,000000000012402154,TOMATO,13-9P-FDS-4777
CAZAHUATE,000000000030059965,TOMATO,17-XJ-FDS-8833
VIRANG,000000000012413507,TOMATO,14-HN-FDS-4448
BEDERO,000000000012947308,TOMATO,15-XJ-FDS-8702
ARYAMAN,000000000012742870,TOMATO,14-HN-FDS-8518
POCHOTE,000000000013022679,TOMATO,16-XJ-FDS-8804
BASSIMO,000000000012741300,TOMATO,12-XJ-FDS-8700
REDJAYDA,000000000013051744,TOMATO,16-HN-FDS-8584
ATHARVA,000000000012895221,TOMATO,15-HN-FDS-8530
SVTE6653,000000000012401166,TOMATO,13-XJ-FDS-2671
BRIVIO,000000000012150928,TOMATO,13-XJ-FDS-8154
KAUSTUBH,000000000012896947,TOMATO,16-HN-FDS-8541
SVTE8444,000000000012401170,TOMATO,14-XJ-FDS-9791
TARIQUIA,000000000012494220,TOMATO,12-XJ-FDS-5555
SVTE8832,000000000012649867,TOMATO,15-XJ-FDS-8832
BARRICK,000000000030104972,TOMATO,18-XL-PMU-9334
SVTM9027,000000000013105601,TOMATO,17-9Z-PMU-9027
SVTM9336,000000000030105210,TOMATO,18-9Z-PMU-9336
SVTM9037,000000000030106502,TOMATO,19-9Z-PMU-9037
SVTM9013,000000000012809407,TOMATO,16-9Z-PMU-9013
SVTM9023,000000000012952327,TOMATO,16-9Z-PMU-9023
SVTM9025,000000000012951791,TOMATO,17-9Z-PMU-9025
SVTM9021,000000000012952552,TOMATO,17-9Z-PMU-9021
SVTM9032,000000000013105563,TOMATO,17-9Z-PMU-9026
SVTM9034,000000000030106499,TOMATO,18-9Z-PMU-9034
SVTM9036,000000000030106496,TOMATO,18-9Z-PMU-9036
SVTM9016,000000000012809454,TOMATO,15-9Z-PMU-9016
SVTM1082,000000000012458459,TOMATO,14-9Z-PMU-0643
INCIPIT,000000000012634599,TOMATO,13-XL-PMU-9300
SVTM9033,000000000030106470,TOMATO,19-9Z-PMU-9033
SVTM9000,000000000012648885,TOMATO,14-9Z-PMU-9000
SVTM9028,000000000013105566,TOMATO,18-9Z-PMU-9028
SVTM9019,000000000012952304,TOMATO,15-9Z-PMU-9019
SVTM9018,000000000012952520,TOMATO,16-9Z-PMU-9018
EVENTUS,000000000012804615,TOMATO,17-AA-PPR-9603
SV5197TP,000000000011747592,TOMATO,11-AA-PPR-5197
